doubling every day;doubling every two days;doubling every four days;doubling every ten days;Italy;US;Spain;Germany;Korea, South;date
100.0;100.0;100.0;100.0;155.0;103.0;120.0;130.0;104.0;0
200.0;141.4213562373095;118.9207115002721;107.17734625362931;229.0;172.0;165.0;159.0;204.0;1
400.0;200.0;141.4213562373095;114.86983549970351;322.0;215.0;222.0;196.0;433.0;2
800.0;282.842712474619;168.1792830507429;123.11444133449163;453.0;337.0;259.0;262.0;602.0;3
1600.0;400.0;200.0;131.9507910772894;655.0;450.0;400.0;482.0;833.0;4
3200.0;565.685424949238;237.8414230005442;141.4213562373095;888.0;515.0;500.0;670.0;977.0;5
6400.0;800.0;282.842712474619;151.5716566510398;1128.0;713.0;673.0;799.0;1261.0;6
12800.0;1131.370849898476;336.3585661014858;162.4504792712471;1694.0;1105.0;1073.0;1040.0;1766.0;7
25600.0;1600.0;400.0;174.11011265922482;2036.0;1530.0;1695.0;1176.0;2337.0;8
51200.0;2262.741699796952;475.6828460010884;186.60659830736148;2502.0;2115.0;2277.0;1457.0;3150.0;9
102400.0;3200.0;565.685424949238;200.0;3089.0;2814.0;2277.0;1908.0;3736.0;10
204800.0;4525.483399593904;672.7171322029716;214.35469250725862;3858.0;2986.0;5232.0;2078.0;4335.0;11
409600.0;6400.0;800.0;229.73967099940697;4636.0;4354.0;6391.0;3675.0;5186.0;12
819200.0;9050.966799187809;951.3656920021768;246.22888266898326;5883.0;5970.0;7798.0;4585.0;5621.0;13
1638400.0;12800.0;1131.370849898476;263.9015821545788;7375.0;8386.0;9942.0;5795.0;6088.0;14
3276800.0;18101.933598375617;1345.4342644059432;282.842712474619;9172.0;12674.0;11748.0;7272.0;6593.0;15
6553600.0;25600.0;1600.0;303.14331330207966;10149.0;18736.0;13910.0;9257.0;7041.0;16
13107200.0;36203.867196751235;1902.7313840043537;324.9009585424942;12462.0;24508.0;17963.0;12327.0;7314.0;17
26214400.0;51200.0;2262.741699796952;348.22022531844965;15113.0;33152.0;20410.0;15320.0;7478.0;18
52428800.0;72407.73439350247;2690.8685288118863;373.21319661472296;17660.0;43850.0;25374.0;19848.0;7513.0;19
104857600.0;102400.0;3200.0;400.0;21157.0;54112.0;28768.0;22213.0;7755.0;20
209715200.0;144815.46878700494;3805.4627680087074;428.70938501451724;24747.0;66055.0;35136.0;24873.0;7869.0;21
419430400.0;204800.0;4525.483399593904;459.47934199881405;27980.0;83611.0;39885.0;29056.0;7979.0;22
838860800.0;289630.9375740099;5381.737057623773;492.4577653379664;31506.0;102101.0;49515.0;32986.0;8086.0;23
1677721600.0;409600.0;6400.0;527.8031643091576;35713.0;122059.0;57786.0;37323.0;8162.0;24
3355443200.0;579261.8751480198;7610.925536017415;565.685424949238;41035.0;141205.0;65719.0;43938.0;8236.0;25
6710886400.0;819200.0;9050.966799187809;606.2866266041593;47021.0;162707.0;73235.0;50871.0;8320.0;26
13421772800.0;1158523.7502960395;10763.474115247545;649.8019170849884;53578.0;188744.0;80110.0;57695.0;8413.0;27
26843545600.0;1638400.0;12800.0;696.4404506368992;59138.0;214205.0;87956.0;62095.0;8565.0;28
53687091200.0;2317047.500592079;15221.85107203483;746.4263932294459;63927.0;244610.0;95923.0;66885.0;8652.0;29
107374182400.0;3276800.0;18101.933598375617;800.0;69176.0;276547.0;104118.0;71808.0;8799.0;30
214748364800.0;4634095.001184158;21526.94823049509;857.4187700290345;74386.0;309699.0;112065.0;77872.0;8961.0;31
429496729600.0;6553600.0;25600.0;918.9586839976281;80589.0;337573.0;119199.0;84794.0;8961.0;32
858993459200.0;9268190.002368316;30443.70214406966;984.9155306759328;86498.0;367215.0;126168.0;91159.0;9037.0;33
1717986918400.0;13107200.0;36203.867196751235;1055.6063286183153;92472.0;397992.0;131646.0;96092.0;9137.0;34
3435973836800.0;18536380.004736632;43053.89646099018;1131.370849898476;97689.0;429686.0;136675.0;100123.0;9241.0;35
6871947673600.0;26214400.0;51200.0;1212.5732532083186;101739.0;464442.0;141942.0;103374.0;9332.0;36
13743895347200.0;37072760.009473264;60887.40428813932;1299.6038341699768;105792.0;497943.0;148220.0;107663.0;9478.0;37
27487790694400.0;52428800.0;72407.73439350247;1392.8809012737984;110574.0;527969.0;153222.0;113296.0;9583.0;38
54975581388800.0;74145520.01894653;86107.79292198036;1492.8527864588918;115242.0;556522.0;158273.0;118181.0;9661.0;39
109951162777600.0;104857600.0;102400.0;1600.0;119827.0;581813.0;163027.0;122171.0;9786.0;40
219902325555200.0;148291040.03789306;121774.80857627864;1714.8375400580687;124632.0;608878.0;166831.0;124908.0;9887.0;41
439804651110400.0;209715200.0;144815.46878700494;1837.9173679952562;128948.0;637974.0;170099.0;127854.0;9976.0;42
879609302220800.0;296582080.0757861;172215.58584396073;1969.8310613518656;132547.0;669272.0;172541.0;130072.0;10062.0;43
1759218604441600.0;419430400.0;204800.0;2111.2126572366315;135586.0;701996.0;177644.0;131359.0;10156.0;44
3518437208883200.0;593164160.1515722;243549.61715255727;2262.741699796952;139422.0;730266.0;184948.0;134753.0;10237.0;45
7036874417766400.0;838860800.0;289630.9375740099;2425.1465064166364;143626.0;756544.0;190839.0;137698.0;10284.0;46
1.40737488355328e+16;1186328320.3031445;344431.17168792145;2599.2076683399537;147577.0;783931.0;191726.0;141397.0;10331.0;47
2.81474976710656e+16;1677721600.0;409600.0;2785.7618025475967;152271.0;809295.0;198674.0;143342.0;10384.0;48
5.62949953421312e+16;2372656640.606289;487099.23430511454;2985.7055729177846;156363.0;837627.0;200210.0;145184.0;10423.0;49
1.125899906842624e+17;3355443200.0;579261.8751480198;3200.0;159516.0;871617.0;204178.0;147065.0;10450.0;50
2.251799813685248e+17;4745313281.212578;688862.3433758429;3429.6750801161375;162488.0;907908.0;208389.0;148291.0;10480.0;51
4.503599627370496e+17;6710886400.0;819200.0;3675.8347359905124;165155.0;940829.0;213024.0;150648.0;10512.0;52
9.007199254740992e+17;9490626562.425156;974198.4686102291;3939.6621227037313;168941.0;968518.0;202990.0;153129.0;10537.0;53
1.8014398509481984e+18;13421772800.0;1158523.7502960395;4222.425314473263;172434.0;990983.0;205905.0;154999.0;10564.0;54
3.602879701896397e+18;18981253124.85031;1377724.6867516858;4525.483399593904;175925.0;1015518.0;207634.0;156513.0;10591.0;55
